CN201510733032.7,20151103,CN105236277B,20170613,B66C23/04;H02G1/02;,绍兴大明电力设计院有限公司,施月泉,全自动带电封网车及其封网方法,浙江省绍兴市胜利东路58号四层,312000
CN201510733196.X,20151029,CN105150682B,20170613,B41F35/06;B41F33/00;,宁波久源润滑设备制造有限公司,许永久,胶印机橡胶滚筒表面清洗装置的自动控制系统及控制方法,浙江省象山县石浦镇万泰工业园区园一路5号,315731
CN201510735076.3,20151103,CN105234215B,20170613,B21D5/12;B21D37/18;,江苏省南扬机械制造有限公司,王正田,用于铝管生产线上的防划伤成型装置,江苏省扬州市邗江区杨寿镇工业园,225124
CN201510735505.7,20151103,CN105275118B,20170613,E04B2/88;E04B2/96;,山西省第三建筑工程公司,白为广,超高单向钢拉索点支承弧形单元玻璃幕墙,山西省长治市太行西街省建巷22号省建三公司技术管理部,046011
CN201510736331.6,20151104,CN105327583B,20170613,B01D50/00;,陈森,陈森,油雾烟尘分离净化设备及其净化方法,陕西省宝鸡市金台区蟠龙镇晓光村2组,721000
CN201510736416.4,20151102,CN105292981B,20170613,B65G35/06;B65G47/52;,天奇自动化工程股份有限公司,张文旭,通道顶升台装置,江苏省无锡市惠山区洛社镇洛藕路288号,214187
CN201510736886.0,20151103,CN105261884B,20170613,H01R13/631;H01R13/02;A47L9/28;,莱克电气股份有限公司,倪祖根,一种充电吸尘器导电部位的对接结构,江苏省苏州市新区向阳路1号,215009
CN201510737094.5,20151030,CN105222640B,20170613,F28F27/00;,广东美的暖通设备有限公司,美的集团股份有限公司,一种换热器上下风机自动确认的控制方法及控制系统,广东省佛山市顺德区北滘镇蓬莱路工业大道,528311
CN201510738715.1,20151103,CN105195501B,20170613,B09B3/00;,青岛市固体废弃物处置有限责任公司,占美丽,一种生活垃圾的微波处理方法,山东省青岛市李沧区滨海路36号,266043
CN201510740768.7,20140528,CN105403657B,20170613,G01N31/16;,天津大学,李景庆,一种测试红磷阻燃聚合物材料中磷化氢释放量的方法,天津市南开区卫津路92号,300072
CN201510741014.3,20151104,CN105290083B,20170613,B09B3/00;B09B5/00;B02C18/14;,浙江春绿生态环保科技有限公司,吕宏伟,垃圾自动处理机,浙江省新昌县镜岭镇楼基村安溪9号,312500
CN201510742433.9,20151105,CN105220645B,20170613,E01H8/06;,中国铁建高新装备股份有限公司,郭关柱,一种轨道除雪用抛雪风机及刷抛式除雪小车,云南省昆明市羊方旺384号,650000
CN201510742973.7,20151105,CN105332442B,20170613,E04B1/98;,同济大学,鲁正,具有非线性刚度的颗粒阻尼器,上海市杨浦区四平路1239号,200092
