185,000504,南华生物医药股份有限公司,南华生物
186,000505,海南珠江控股股份有限公司,珠江控股
188,000506,中润资源投资股份有限公司,中润资源
189,000507,珠海港股份有限公司,珠海港
190,000508,海南民源现代农业发展股份有限公司,琼民源Ａ
191,000509,华塑控股股份有限公司,华塑控股
192,000510,四川金路集团股份有限公司,金路集团
193,000511,银基烯碳新材料股份有限公司,烯碳新材
194,000513,丽珠医药集团股份有限公司,丽珠集团
196,000514,重庆渝开发股份有限公司,渝开发
197,000515,攀钢集团重庆钛业股份有限公司,攀渝钛业
198,000516,西安国际医学投资股份有限公司,国际医学
199,000517,荣安地产股份有限公司,荣安地产
200,000518,江苏四环生物股份有限公司,四环生物
201,000519,中兵红箭股份有限公司,中兵红箭
202,000520,长航凤凰股份有限公司,长航凤凰
203,000521,合肥美菱股份有限公司,美菱电器
205,000522,广州白云山制药股份有限公司,白云制药
206,000523,广州市浪奇实业股份有限公司,广州浪奇
207,000524,广州岭南集团控股股份有限公司,岭南控股
208,000525,南京红太阳股份有限公司,红太阳
209,000526,厦门紫光学大股份有限公司,紫光学大
210,000527,广东美的电器股份有限公司,美的电器
211,000528,广西柳工机械股份有限公司,柳工
212,000529,广东广弘控股股份有限公司,广弘控股
213,000530,大连冷冻机股份有限公司,大冷股份
215,000531,广州恒运企业集团股份有限公司,恒运集团
216,000532,珠海华金资本股份有限公司,华金资本
217,000533,广东万家乐股份有限公司,万家乐
218,000534,万泽实业股份有限公司,万泽股份
219,000535,猴王股份有限公司,猴王股份
220,000536,华映科技(集团)股份有限公司,华映科技
221,000537,天津广宇发展股份有限公司,广宇发展
222,000538,云南白药集团股份有限公司,云南白药
223,000539,广东电力发展股份有限公司,粤电力
225,000540,中天金融集团股份有限公司,中天金融
226,000541,佛山电器照明股份有限公司,佛山照明
228,000542,TCL通讯设备股份有限公司,TCL通讯
229,000543,安徽省皖能股份有限公司,皖能电力
230,000544,中原环保股份有限公司,中原环保
231,000545,金浦钛业股份有限公司,金浦钛业
232,000546,金圆水泥股份有限公司,金圆股份
233,000547,航天工业发展股份有限公司,航天发展
234,000548,湖南投资集团股份有限公司,湖南投资
235,000549,湘火炬汽车集团股份有限公司,湘火炬Ａ
236,000550,江铃汽车股份有限公司,江铃汽车
238,000551,创元科技股份有限公司,创元科技
239,000552,甘肃靖远煤电股份有限公司,靖远煤电
240,000553,湖北沙隆达股份有限公司,沙隆达
242,000554,中国石化山东泰山石油股份有限公司,泰山石油
243,000555,神州数码信息服务股份有限公司,神州信息
244,000556,南洋航运集团股份有限公司,南洋航运
245,000557,宁夏西部创业实业股份有限公司,西部创业
246,000558,莱茵达体育发展股份有限公司,莱茵体育
247,000559,万向钱潮股份有限公司,万向钱潮
248,000560,昆明百货大楼(集团)股份有限公司,昆百大
249,000561,陕西烽火电子股份有限公司,烽火电子
250,000562,宏源证券股份有限公司,宏源证券
251,000563,陕西省国际信托股份有限公司,陕国信托
252,000564,供销大集集团股份有限公司,供销大集
253,000565,重庆三峡油漆股份有限公司,三峡油漆
254,000566,海南海药股份有限公司,海南海药
255,000567,海南海德实业股份有限公司,海德股份
256,000568,泸州老窖股份有限公司,泸州老窖
257,000569,攀钢集团四川长城特殊钢股份有限公司,长城股份
258,000570,常柴股份有限公司,常柴股份
260,000571,新大洲控股股份有限公司,大洲控股
261,000572,海马汽车集团股份有限公司,海马汽车
262,000573,东莞宏远工业区股份有限公司,粤宏远
263,000576,江门甘蔗化工厂(集团)股份有限公司,广东甘化
264,000578,青海盐湖工业集团股份有限公司,盐湖集团
265,000581,无锡威孚高科技集团股份有限公司,威孚高科
267,000582,北部湾港股份有限公司,北部湾港
268,000583,四川托普软件投资股份有限公司,四川托普
269,000584,江苏友利投资控股股份有限公司,友利控股
270,000585,东北电气发展股份有限公司,东北电气
272,000586,四川汇源光通信股份有限公司,汇源通信
273,000587,金洲慈航集团股份有限公司,金洲慈航
274,000588,广东金曼集团股份有限公司,广东金曼
275,000589,贵州轮胎股份有限公司,黔轮胎
276,000590,启迪古汉集团股份有限公司,启迪古汉
277,000591,中节能太阳能股份有限公司,太阳能
278,000592,中福海峡(平潭)发展股份有限公司,平潭发展
279,000593,四川大通燃气开发股份有限公司,大通燃气
280,000594,天津国恒铁路控股股份有限公司,国恒铁路
281,000595,宝塔实业股份有限公司,宝塔实业
282,000596,安徽古井贡酒股份有限公司,古井贡酒
284,000597,东北制药集团股份有限公司,东北制药
285,000598,成都市兴蓉环境股份有限公司,兴蓉环境
286,000599,青岛双星股份有限公司,青岛双星
287,000600,河北建投能源投资股份有限公司,建投能源
288,000601,广东韶能集团股份有限公司,韶能股份
289,000602,广东金马旅游集团股份有限公司,金马集团
290,000603,盛达矿业股份有限公司,盛达矿业
291,000605,渤海水业股份有限公司,渤海股份
292,000606,神州易桥信息服务股份有限公司,神州易桥
293,000607,浙江华媒控股股份有限公司,华媒控股
294,000608,阳光新业地产股份有限公司,阳光新业
295,000609,北京绵石投资集团股份有限公司,绵石投资
296,000610,西安旅游股份有限公司,西安旅游
297,000611,内蒙古天首科技发展股份有限公司,天首发展
298,000612,焦作万方铝业股份有限公司,焦作万方
299,000613,海南大东海旅游中心股份有限公司,大东海
301,000615,京汉实业投资股份有限公司,京汉股份
302,000616,海航投资集团股份有限公司,海航投资
303,000617,中国石油集团资本股份有限公司,中油资本
304,000618,吉林化学工业股份有限公司,吉林化工
306,000619,芜湖海螺型材科技股份有限公司,海螺型材
307,000620,新华联文化旅游发展股份有限公司,新华联
308,000621,比特科技控股股份有限公司,比特科技
309,000622,恒立实业发展集团股份有限公司,恒立实业
310,000623,吉林敖东药业集团股份有限公司,吉林敖东
311,000625,重庆长安汽车股份有限公司,长安汽车
313,000626,远大产业控股股份有限公司,远大控股
314,000627,天茂实业集团股份有限公司,天茂集团
315,000628,成都高新发展股份有限公司,高新发展
316,000629,攀钢集团钒钛资源股份有限公司,攀钢钒钛
318,000630,铜陵有色金属集团股份有限公司,铜陵有色
320,000631,顺发恒业股份公司,顺发恒业
321,000632,福建三木集团股份有限公司,三木集团
322,000633,沈阳合金投资股份有限公司,合金投资
323,000635,宁夏英力特化工股份有限公司,英力特
324,000636,广东风华高新科技股份有限公司,风华高科
325,000637,茂名石化实华股份有限公司,茂化实华
326,000638,万方城镇投资发展股份有限公司,万方发展
327,000639,西王食品股份有限公司,西王食品
328,000650,仁和药业股份有限公司,仁和药业
329,000651,珠海格力电器股份有限公司,格力电器
330,000652,天津泰达股份有限公司,泰达股份
