CN201710383412.1,20170526,CN106966347A,20170721,B67B7/16;,宁波大学,柴宏哲,一种应用于化工产品回收的罐盖分离装置,浙江省宁波市江北区风华路818号宁波大学材化学院,315211
CN201710190964.0,20170328,CN106963959A,20170721,A61L2/18;A61L2/22;A61L2/20;A61L2/10;A61L2/02;F26B9/06;A61L101/10;,许志秀,许志秀,一种儿科护理清洗消毒装置,山东省淄博市张店区杏园东路12号院2号楼2单元102号,255022
CN201710289888.9,20170427,CN106962279A,20170721,A01K67/02;A23K50/80;A23K10/30;A23K10/22;A23K20/20;A23K20/195;,安徽省鑫旺农业开发有限公司,朱治连,一种多肉甲鱼的养殖方法,安徽省六安市霍邱县马店镇溜山村,237400
CN201710198823.3,20170329,CN106968908A,20170721,F04B15/02;F04B53/10;F04B53/16;,曾正兵,曾正兵,一种平稳输送混凝土泵以及控制方法,四川省成都市锦江区锦丰一路51号4栋1单元805号,610000
CN201710408619.X,20170602,CN106973373A,20170721,H04W8/08;H04W24/02;H04W48/20;H04W60/04;,奇酷互联网络科技（深圳）有限公司,王燕飞,网络注册方法、装置、移动终端和计算机可读存储介质,广东省深圳市南山区学苑大道1001号南山智园A2栋1-10楼,518000
CN201710349636.0,20170517,CN106962810A,20170721,A23L13/40;A23L13/60;A23L13/70;A23L13/50;A23L3/358;A23D9/007;,四川怡味贸易有限公司,柳长武,一种花椒风味肉糜罐头的加工方法,四川省成都市高新区（西区）天目路77号保利香槟国际10幢2单元4层425号,610000
CN201710368917.0,20170523,CN106964219A,20170721,B01D46/52;B01D46/00;,核工业理化工程研究院华核新技术开发公司,王焕志,卧式总空过滤器,天津市西青区华苑产业区海泰发展六道6号海泰绿色产业基地j座104室,300384
CN201710402806.7,20170601,CN106968375A,20170721,E04B2/94;E04G21/14;E04G21/16;,中国五冶集团有限公司,罗建勋,一种预制反打石材混凝土挂板安装方法,四川省成都市锦江区五冶路9号,610000
CN201710382195.4,20170526,CN106965335A,20170721,B28D1/24;B28D7/02;B28D7/04;,盐城瑞峰石材有限公司,王东旭,一种节能的石材加工设备,江苏省盐城市射阳县射阳港经济区闽商大道1号,224300
CN201710234797.5,20170411,CN106966770A,20170721,C05F17/00;C05G3/00;C05G3/02;C05G3/04;,山东博华高效生态农业科技有限公司,苏亚平,一种具有防病效果的酵素菌肥的制作方法,山东省滨州市博兴县吕艺镇,256500
CN201710362996.4,20170517,CN106966202A,20170721,B65H5/06;B65H5/02;,北塘区军之印纸品加工厂,余学润,一种印刷传送辊机构,江苏省无锡市北塘区通惠西路45号（102室）,214000
CN201710252074.8,20170418,CN106970622A,20170721,G05D1/02;,成都圭目机器人有限公司,桂仲成,一种自主式视觉检测机器人系统及其使用方法,四川省成都市高新西区西芯大道5号汇都总部园6栋一层,611731
CN201710293754.4,20170428,CN106971662A,20170721,G09B25/02;G09B9/00;,北京华航唯实机器人科技有限公司,刘浪,一种工业机器人教学系统,北京市昌平区北七家镇宏福科技园,102209
CN201710234018.1,20170411,CN106968150A,20170721,E01C7/18;,中铁五局集团有限公司,中铁五局集团机械化工程有限责任公司,一种南方多雨地区SMA沥青混凝土路面施工方法,贵州省贵阳市枣山路23号,550003
CN201710209774.9,20170331,CN106971752A,20170721,G11C7/16;H04M1/725;,联想（北京）有限公司,高澍,多媒体播放控制方法及多媒体播放装置,北京市海淀区上地信息产业基地创业路6号,100085
CN201710150218.9,20170314,CN106973149A,20170721,H04M1/725;,上海保橙网络科技有限公司,齐石,开车使用手机的判断方法,上海市浦东新区南汇新城镇芦潮港路1758号1幢A-563室,201308
CN201710232757.7,20170411,CN106966644A,20170721,C04B28/00;C04B38/02;C04B111/40;,商洛学院,郭家林,一种制作发泡水泥板的组合物及方法,陕西省商洛市商州区北新街10号,726099
CN201710175582.0,20170322,CN106969636A,20170721,F27D17/00;B01D46/10;,东风柳州汽车有限公司,蒲荣军,涂漆烘干炉废气处理装置,广西壮族自治区柳州市屏山大道286号,545005
