CN201710107630.2,20170227,CN106959608A,20170718,G05B13/04;,同济大学,康琦,一种基于聚类粒子群算法的供水管网渗漏优化控制方法,上海市杨浦区四平路1239号,200092
CN201710107683.4,20170227,CN106961762A,20170718,H05B33/08;,南昌大学,方文卿,一种由白炽灯构成无频闪低蓝光全光谱特殊灯具的方法,江西省南昌市红谷滩新区学府大道999号,330031
CN201710107685.3,20170227,CN106956416A,20170718,B29C47/40;B29C47/60;B29C47/12;B29C47/02;B29C47/88;,浙江凯阳新材料股份有限公司,李峰,一种薄膜挤出装置,浙江省嘉兴市平湖市新仓镇幸平路30号内西幢南侧,314200
CN201710107689.1,20170227,CN106955718A,20170718,B01J27/04;C02F1/30;C02F101/38;C02F101/36;C02F101/34;,江苏大学,李彬榕,一种ZnS/Bi<base:Sub>2</base:Sub>O<base:Sub>3</base:Sub>异质结分子印迹光催化膜及制备方法和用途,江苏省镇江市京口区学府路301号,212013
CN201710107700.4,20131129,CN106955538A,20170718,B01D46/24;B01D46/52;,唐纳森公司,S·坎贝尔,过滤器滤芯、特征和组装的方法、过滤器组件、和过滤器滤芯组合,美国明尼苏达州,0
CN201710107721.6,20170227,CN106960270A,20170718,G06Q10/06;G06Q50/06;,河海大学,余昆,一种考虑需求侧响应的配电变压器效益潜力评估方法,江苏省南京市江宁区江宁技术开发区佛城西路8号,211199
CN201710107990.2,20170227,CN106959899A,20170718,G06F9/52;G06F9/54;,阿里巴巴集团控股有限公司,杨磊磊,一种消息阻塞检测方法、装置及计算机存储介质,英属开曼群岛大开曼,0
CN201710108087.8,20170227,CN106959228A,20170718,G01N1/28;G01N1/38;,广东风华高新科技股份有限公司,广东亿华检测技术发展有限公司,荧光光谱分析样品的处理方法,广东省肇庆市风华路18号风华电子工业城,526020
CN201710108173.9,20150221,CN106958819A,20170718,F23G5/00;F23G5/44;F23G7/00;F23J15/00;,乐清市风杰电子科技有限公司,不公告发明人,一种处理生活垃圾的垃圾燃烧炉,浙江省温州市乐清市柳市镇西仁宕村,325600
CN201710108203.6,20170227,CN106957397A,20170718,C08F290/06;C08F285/00;C08F220/06;C08F220/28;C08F226/10;C08F2/48;C08F4/00;,杭州启明医疗器械有限公司,王云兵,防周漏水凝胶材料及其制备方法,浙江省杭州市滨江区南环路3738号税友大厦东楼201室,310000
CN201710108219.7,20170227,CN106954839A,20170718,A23L27/60;A23L33/10;,成都伞塔食品有限公司,任苏霞,一种有嚼劲的餐酱,四川省成都市蛟龙工业港双流园区清江路2座,610000
CN201710108571.0,20151026,CN106958073A,20170718,D03D47/40;,乐清市华尊电气有限公司,不公告发明人,一种绞边张力器,浙江省温州市乐清市城东街道牛鼻洞村,325600
CN201710108591.8,20170227,CN106961117A,20170718,H02J3/38;G05F1/67;,南京邮电大学,高浩,一种基于改进型量子粒子群算法的MPPT控制方法,江苏省南京市栖霞区文苑路9号,210023
CN201710108695.9,20170227,CN106955233A,20170718,A61J1/03;A61N5/06;,东莞产权交易中心,蒋伟男,一种手戴式应急药盒,广东省东莞市松山湖高新技术产业开发区创意生活城展贸中心A区,523000
CN201710108858.3,20170227,CN106955406A,20170718,A61M16/04;,郑州大学第一附属医院,冯敏,一种经皮气管切开术皮外气管固定器及其使用方法,河南省郑州市建设东路1号,450052
CN201710108861.5,20170227,CN106959443A,20170718,G01S7/41;G01S3/00;,中国人民解放军空军工程大学,师俊朋,一种基于空间差异矩阵重构的低角目标DOA估计方法及装置,陕西省西安市长乐东路甲字1号,710000
CN201710109018.9,20170227,CN106961516A,20170718,H04M1/725;H04N5/235;,维沃移动通信有限公司,尹建华,一种闪光灯控制方法及装置,广东省东莞市长安镇乌沙步步高大道283号,523860
CN201710109025.9,20170227,CN106957055A,20170718,C01B32/194;H01M4/583;H01M4/62;H01G11/32;,华南师范大学,袁中直,一种硫、氮、过渡金属掺杂石墨烯及其制备方法与应用,广东省广州市番禺区广州大学城外环西路378号,510006
CN201710109031.4,20170227,CN106959107A,20170718,G01C19/72;G01C25/00;,九江四元科技有限公司,单福林,一种截面为梯形的高稳定性光纤环的绕法,江西省九江市开发区长城路121号恒盛科技园13号楼102室,332000
CN201710109181.5,20170227,CN106954712A,20170718,A23F3/34;,覃淑兰,覃淑兰,一种山麦冬保健茶,广西壮族自治区南宁市青秀区青环路90号汇东郦城郦湖组团3-A号楼2单元604号,530028
CN201710109190.4,20170227,CN106961517A,20170718,H04M1/725;,杨戈,杨戈,一种基于手机网页的信息安全保护方法及系统,山东省济南市市中区建国小经六路18号,250000
CN201710109210.8,20170227,CN106955178A,20170718,A61F5/01;A61N2/08;A61H39/00;A61M35/00;,东莞产权交易中心,朱津,一种老年人智能肩颈带,广东省东莞市松山湖高新技术产业开发区创意生活城展贸中心A区,523000
CN201710109250.2,20170227,CN106955400A,20170718,A61M5/52;A61F7/00;A61F7/08;,东莞产权交易中心,栾嘉晨,一种打点滴辅助装置,广东省东莞市松山湖高新技术产业开发区创意生活城展贸中心A区,523000
CN201710109301.1,20141110,CN106959410A,20170718,G01R31/28;,伊斯梅卡半导体控股公司,A.维伊斯贝克,用于处理构件的组件和方法,瑞士拉绍德封,0
CN201710109348.8,20170227,CN106954549A,20170718,A01H4/00;,水生藻安生物科技（武汉）有限公司,不公告发明人,一种篦齿眼子菜组织培养与快速繁殖方法,湖北省武汉市东湖高新技术开发区高新大道666号留学生创业园C6栋325号,430000
CN201710109370.2,20170227,CN106961327A,20170718,H04L9/08;,北京邮电大学,赵永利,基于量子密钥池的密钥管理系统及方法,北京市海淀区西土城路10号,100876
CN201710109408.6,20170227,CN106955284A,20170718,A61K31/26;A61P35/02;,新乡医学院,王凡平,通过调控Shh信号通路抑制白血病干细胞更新和增殖的一种药物,河南省新乡市金穗大道601号新乡医学院,453002
CN201710109442.3,20170227,CN106959813A,20170718,G06F3/0488;G06F3/0483;,珠海市魅族科技有限公司,孙雪,一种界面控制方法及系统,广东省珠海市科技创新海岸魅族科技楼,519085
CN201710109513.X,20170227,CN106958112A,20170718,D06F17/06;D06F37/26;D06F37/30;D06F39/00;D06F39/08;,无锡小天鹅股份有限公司,管学伟,洗衣机,江苏省无锡市新区长江南路18号,214028
CN201710109604.3,20170227,CN106955451A,20170718,A62D3/33;A62D101/24;,湖南云平环保科技有限公司,李启云,垃圾焚烧飞灰重金属螯合剂及其制备方法,湖南省长沙市高新开发区谷园路109号像素大厦3219房,410205
CN201710109656.0,20170227,CN106959368A,20170718,G01N33/558;G01N33/532;,宁夏海诚电化信息科技有限公司,胡江海,一种免疫诊断试剂生产方法,宁夏回族自治区中卫市沙坡头区中关村科技园云中心A座,755000
